TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,2)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,2)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (3,9)        | 488    | NO
17       | 4    | RACCOLTA OGGETTO          | (4,10)       | 485    | SI
21       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 481    | NO
25       | 4    | Stato: EXPLORE            | (4,13)       | 477    | NO
47       | 1    | Stato: RETRIEVE           | (6,1)        | 452    | NO
55       | 1    | RACCOLTA OGGETTO          | (7,5)        | 444    | SI
63       | 3    | Stato: RETRIEVE           | (7,16)       | 438    | NO
66       | 3    | RACCOLTA OGGETTO          | (7,18)       | 435    | SI
67       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 432    | NO
72       | 1    | Stato: EXPLORE            | (4,13)       | 427    | NO
73       | 1    | Stato: RETRIEVE           | (4,14)       | 426    | NO
81       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 420    | NO
87       | 3    | Stato: EXPLORE            | (4,11)       | 414    | NO
88       | 3    | Stato: RETRIEVE           | (4,10)       | 413    | NO
89       | 4    | Stato: RETRIEVE           | (1,16)       | 413    | NO
97       | 3    | RACCOLTA OGGETTO          | (7,9)        | 404    | SI
107      | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 394    | NO
111      | 3    | Stato: EXPLORE            | (4,13)       | 390    | NO
112      | 3    | Stato: RETRIEVE           | (4,14)       | 389    | NO
117      | 4    | RACCOLTA OGGETTO          | (7,11)       | 385    | SI
128      | 1    | RACCOLTA OGGETTO          | (11,7)       | 371    | SI
129      | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 373    | NO
134      | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 365    | NO
135      | 4    | Stato: EXPLORE            | (4,13)       | 367    | NO
136      | 4    | Stato: RETRIEVE           | (4,14)       | 366    | NO
138      | 1    | RACCOLTA OGGETTO          | (12,4)       | 361    | SI
142      | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 357    | NO
148      | 1    | Stato: EXPLORE            | (13,4)       | 351    | NO
149      | 1    | Stato: RETRIEVE           | (13,5)       | 350    | NO
152      | 4    | Stato: EXPLORE            | (12,8)       | 350    | NO
153      | 1    | Stato: EXPLORE            | (13,7)       | 346    | NO
155      | 3    | Stato: EXPLORE            | (13,12)      | 346    | NO
160      | 4    | Stato: RETRIEVE           | (16,8)       | 342    | NO
163      | 3    | Stato: RETRIEVE           | (11,18)      | 338    | NO
163      | 4    | RACCOLTA OGGETTO          | (16,10)      | 339    | SI
166      | 3    | RACCOLTA OGGETTO          | (10,19)      | 335    | SI
171      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 330    | NO
175      | 3    | Stato: EXPLORE            | (13,20)      | 326    | NO
175      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 327    | NO
179      | 4    | Stato: EXPLORE            | (19,12)      | 323    | NO
324      | 4    | Stato: RETRIEVE           | (23,17)      | 178    | NO
336      | 4    | RACCOLTA OGGETTO          | (19,20)      | 166    | SI
349      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 153    | NO
