TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,2)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,1)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (2,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (1,1)        | 499    | NO
24       | 1    | Stato: RETRIEVE           | (4,8)        | 475    | NO
27       | 1    | RACCOLTA OGGETTO          | (4,10)       | 472    | SI
30       | 4    | Stato: RETRIEVE           | (7,3)        | 472    | NO
31       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 468    | NO
33       | 4    | RACCOLTA OGGETTO          | (7,5)        | 469    | SI
35       | 1    | Stato: EXPLORE            | (4,11)       | 464    | NO
42       | 1    | Stato: RETRIEVE           | (1,11)       | 457    | NO
45       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 457    | NO
51       | 4    | Stato: EXPLORE            | (4,11)       | 451    | NO
52       | 3    | Stato: RETRIEVE           | (4,9)        | 449    | NO
52       | 4    | Stato: RETRIEVE           | (3,11)       | 450    | NO
60       | 1    | RACCOLTA OGGETTO          | (7,18)       | 439    | SI
62       | 3    | RACCOLTA OGGETTO          | (7,9)        | 439    | SI
75       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 424    | NO
79       | 1    | Stato: EXPLORE            | (4,13)       | 420    | NO
80       | 1    | Stato: RETRIEVE           | (4,14)       | 419    | NO
94       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 407    | NO
96       | 4    | Stato: EXPLORE            | (7,18)       | 406    | NO
97       | 4    | Stato: RETRIEVE           | (7,17)       | 405    | NO
98       | 3    | RACCOLTA OGGETTO          | (12,4)       | 403    | SI
104      | 4    | RACCOLTA OGGETTO          | (7,11)       | 398    | SI
105      | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 396    | NO
109      | 3    | Stato: EXPLORE            | (11,4)       | 392    | NO
110      | 3    | Stato: RETRIEVE           | (10,4)       | 391    | NO
114      | 1    | Stato: EXPLORE            | (4,12)       | 385    | NO
115      | 3    | RACCOLTA OGGETTO          | (11,7)       | 386    | SI
116      | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 386    | NO
120      | 4    | Stato: EXPLORE            | (4,11)       | 382    | NO
121      | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 380    | NO
127      | 3    | Stato: EXPLORE            | (11,4)       | 374    | NO
128      | 3    | Stato: RETRIEVE           | (10,4)       | 373    | NO
136      | 3    | Stato: EXPLORE            | (10,12)      | 365    | NO
145      | 1    | Stato: RETRIEVE           | (12,19)      | 354    | NO
148      | 1    | RACCOLTA OGGETTO          | (10,19)      | 351    | SI
153      | 1    | CONSEGNA EFFETTUATA       | (11,22)      | 346    | NO
157      | 1    | Stato: EXPLORE            | (11,20)      | 342    | NO
214      | 1    | Stato: RETRIEVE           | (16,8)       | 285    | NO
217      | 1    | RACCOLTA OGGETTO          | (16,10)      | 282    | SI
229      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 270    | NO
233      | 1    | Stato: EXPLORE            | (20,11)      | 266    | NO
333      | 1    | Stato: RETRIEVE           | (19,22)      | 166    | NO
336      | 1    | RACCOLTA OGGETTO          | (19,20)      | 163    | SI
349      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 150    | NO
