TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,1)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (2,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,1)        | 499    | NO
13       | 4    | Stato: RETRIEVE           | (4,8)        | 489    | NO
16       | 4    | RACCOLTA OGGETTO          | (4,10)       | 486    | SI
20       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 482    | NO
24       | 4    | Stato: EXPLORE            | (4,11)       | 478    | NO
27       | 1    | Stato: RETRIEVE           | (6,8)        | 472    | NO
30       | 1    | RACCOLTA OGGETTO          | (7,9)        | 469    | SI
37       | 4    | Stato: RETRIEVE           | (3,11)       | 465    | NO
37       | 3    | Stato: RETRIEVE           | (7,3)        | 464    | NO
40       | 3    | RACCOLTA OGGETTO          | (7,5)        | 461    | SI
42       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 457    | NO
48       | 1    | Stato: EXPLORE            | (4,11)       | 451    | NO
49       | 1    | Stato: RETRIEVE           | (4,10)       | 450    | NO
54       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 447    | NO
58       | 3    | RACCOLTA OGGETTO          | (12,4)       | 443    | SI
61       | 4    | RACCOLTA OGGETTO          | (7,18)       | 441    | SI
62       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 439    | NO
68       | 3    | Stato: EXPLORE            | (11,4)       | 433    | NO
69       | 3    | Stato: RETRIEVE           | (10,4)       | 432    | NO
70       | 1    | Stato: EXPLORE            | (7,5)        | 429    | NO
71       | 1    | Stato: RETRIEVE           | (7,6)        | 428    | NO
74       | 3    | RACCOLTA OGGETTO          | (11,7)       | 427    | SI
74       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 428    | NO
77       | 1    | RACCOLTA OGGETTO          | (7,11)       | 422    | SI
78       | 4    | Stato: EXPLORE            | (4,11)       | 424    | NO
79       | 4    | Stato: RETRIEVE           | (4,10)       | 423    | NO
80       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 421    | NO
85       | 4    | Stato: EXPLORE            | (4,8)        | 417    | NO
86       | 3    | Stato: EXPLORE            | (11,4)       | 415    | NO
87       | 3    | Stato: RETRIEVE           | (10,4)       | 414    | NO
89       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 410    | NO
97       | 1    | Stato: EXPLORE            | (4,13)       | 402    | NO
103      | 3    | RACCOLTA OGGETTO          | (10,19)      | 398    | SI
108      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 393    | NO
111      | 4    | Stato: RETRIEVE           | (5,8)        | 391    | NO
112      | 3    | Stato: EXPLORE            | (11,20)      | 389    | NO
113      | 3    | Stato: RETRIEVE           | (10,20)      | 388    | NO
135      | 4    | RACCOLTA OGGETTO          | (16,10)      | 367    | SI
141      | 1    | Stato: RETRIEVE           | (6,23)       | 358    | NO
147      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 355    | NO
151      | 4    | Stato: EXPLORE            | (20,11)      | 351    | NO
152      | 4    | Stato: RETRIEVE           | (19,11)      | 350    | NO
187      | 4    | Stato: EXPLORE            | (11,7)       | 315    | NO
215      | 1    | Stato: EXPLORE            | (16,10)      | 284    | NO
216      | 3    | Stato: EXPLORE            | (16,9)       | 285    | NO
260      | 1    | Stato: RETRIEVE           | (19,18)      | 239    | NO
263      | 1    | RACCOLTA OGGETTO          | (19,20)      | 236    | SI
276      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 223    | NO
