TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,1)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
13       | 4    | Stato: RETRIEVE           | (9,3)        | 489    | NO
15       | 3    | Stato: RETRIEVE           | (5,7)        | 486    | NO
16       | 4    | RACCOLTA OGGETTO          | (9,5)        | 486    | SI
18       | 3    | RACCOLTA OGGETTO          | (6,8)        | 483    | SI
22       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 480    | NO
26       | 4    | Stato: EXPLORE            | (11,4)       | 476    | NO
26       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 475    | NO
27       | 4    | RACCOLTA OGGETTO          | (11,4)       | 475    | SI
30       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 472    | NO
30       | 3    | Stato: EXPLORE            | (4,11)       | 471    | NO
31       | 3    | Stato: RETRIEVE           | (5,11)       | 470    | NO
34       | 3    | RACCOLTA OGGETTO          | (7,11)       | 467    | SI
36       | 4    | Stato: EXPLORE            | (11,4)       | 466    | NO
40       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 461    | NO
46       | 3    | Stato: EXPLORE            | (4,11)       | 455    | NO
47       | 3    | Stato: RETRIEVE           | (4,12)       | 454    | NO
49       | 3    | RACCOLTA OGGETTO          | (4,13)       | 452    | SI
54       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 447    | NO
58       | 3    | Stato: EXPLORE            | (4,11)       | 443    | NO
85       | 4    | Stato: RETRIEVE           | (20,6)       | 417    | NO
88       | 4    | RACCOLTA OGGETTO          | (20,8)       | 414    | SI
91       | 3    | Stato: RETRIEVE           | (6,14)       | 410    | NO
94       | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 408    | NO
98       | 4    | Stato: EXPLORE            | (20,13)      | 404    | NO
99       | 3    | RACCOLTA OGGETTO          | (5,20)       | 402    | SI
99       | 4    | Stato: RETRIEVE           | (20,14)      | 403    | NO
104      | 4    | RACCOLTA OGGETTO          | (17,13)      | 398    | SI
108      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 393    | NO
112      | 3    | Stato: EXPLORE            | (11,20)      | 389    | NO
112      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 390    | NO
113      | 3    | Stato: RETRIEVE           | (11,19)      | 388    | NO
118      | 4    | Stato: EXPLORE            | (20,11)      | 384    | NO
119      | 4    | Stato: RETRIEVE           | (20,10)      | 383    | NO
123      | 3    | RACCOLTA OGGETTO          | (9,20)       | 378    | SI
128      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 373    | NO
132      | 3    | Stato: EXPLORE            | (11,20)      | 369    | NO
140      | 4    | Stato: EXPLORE            | (7,11)       | 362    | NO
171      | 1    | Stato: RETRIEVE           | (11,8)       | 328    | NO
189      | 4    | Stato: RETRIEVE           | (8,17)       | 313    | NO
190      | 1    | Stato: EXPLORE            | (5,20)       | 309    | NO
191      | 1    | Stato: RETRIEVE           | (6,20)       | 308    | NO
209      | 4    | RACCOLTA OGGETTO          | (20,18)      | 293    | SI
212      | 1    | Stato: EXPLORE            | (21,14)      | 287    | NO
219      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 283    | NO
