TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (2,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,1)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
18       | 3    | Stato: RETRIEVE           | (4,8)        | 483    | NO
21       | 3    | RACCOLTA OGGETTO          | (6,8)        | 480    | SI
23       | 4    | Stato: RETRIEVE           | (9,3)        | 479    | NO
23       | 1    | Stato: RETRIEVE           | (9,2)        | 476    | NO
26       | 4    | RACCOLTA OGGETTO          | (9,5)        | 476    | SI
29       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 472    | NO
32       | 1    | RACCOLTA OGGETTO          | (11,4)       | 467    | SI
32       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 470    | NO
33       | 3    | Stato: EXPLORE            | (4,11)       | 468    | NO
34       | 3    | Stato: RETRIEVE           | (4,10)       | 467    | NO
35       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 464    | NO
36       | 4    | Stato: EXPLORE            | (11,4)       | 466    | NO
39       | 3    | RACCOLTA OGGETTO          | (7,11)       | 462    | SI
41       | 1    | Stato: EXPLORE            | (12,5)       | 458    | NO
45       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 456    | NO
51       | 3    | Stato: EXPLORE            | (4,11)       | 450    | NO
52       | 3    | Stato: RETRIEVE           | (4,10)       | 449    | NO
60       | 3    | RACCOLTA OGGETTO          | (4,13)       | 441    | SI
62       | 1    | Stato: RETRIEVE           | (19,17)      | 437    | NO
65       | 1    | RACCOLTA OGGETTO          | (20,18)      | 434    | SI
65       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 436    | NO
69       | 3    | Stato: EXPLORE            | (4,11)       | 432    | NO
71       | 4    | Stato: RETRIEVE           | (14,4)       | 431    | NO
75       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 424    | NO
79       | 1    | Stato: EXPLORE            | (20,11)      | 420    | NO
80       | 1    | Stato: RETRIEVE           | (20,10)      | 419    | NO
83       | 1    | RACCOLTA OGGETTO          | (20,8)       | 416    | SI
89       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 410    | NO
90       | 4    | Stato: EXPLORE            | (20,8)       | 412    | NO
91       | 4    | Stato: RETRIEVE           | (19,8)       | 411    | NO
95       | 1    | Stato: EXPLORE            | (20,11)      | 404    | NO
99       | 4    | RACCOLTA OGGETTO          | (17,13)      | 403    | SI
101      | 3    | Stato: RETRIEVE           | (5,18)       | 400    | NO
104      | 3    | RACCOLTA OGGETTO          | (5,20)       | 397    | SI
104      | 1    | Stato: RETRIEVE           | (22,12)      | 395    | NO
107      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 395    | NO
111      | 4    | Stato: EXPLORE            | (20,11)      | 391    | NO
112      | 4    | Stato: RETRIEVE           | (19,11)      | 390    | NO
113      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 388    | NO
117      | 3    | Stato: EXPLORE            | (11,20)      | 384    | NO
118      | 3    | Stato: RETRIEVE           | (11,19)      | 383    | NO
125      | 1    | Stato: EXPLORE            | (7,11)       | 374    | NO
128      | 3    | RACCOLTA OGGETTO          | (9,20)       | 373    | SI
133      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 368    | NO
