Agent_ID,Agent_Type,Final_State,Battery_Remaining,Distance_Covered,Deliveries,Abandoned_Objects,Ticks_Alive,Pct_Explore,Pct_ReturnHome
1,Worker1,EXPLORE,365,124,5,0,135,50.37%,24.44%
2,Scout2,EXPLORE,366,133,0,0,134,100.0%,0.0%
3,Worker2,EXIT_WAREHOUSE,367,125,3,0,133,51.13%,15.04%
4,Worker3,RETRIEVE,368,127,2,0,132,43.18%,10.61%
5,Scout1,EXPLORE,369,130,0,0,131,100.0%,0.0%
