TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (2,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,2)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (2,0)        | 499    | NO
12       | 1    | Stato: RETRIEVE           | (3,9)        | 487    | NO
12       | 4    | Stato: RETRIEVE           | (2,9)        | 490    | NO
15       | 1    | RACCOLTA OGGETTO          | (4,10)       | 484    | SI
16       | 4    | Stato: EXPLORE            | (4,7)        | 486    | NO
19       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 480    | NO
23       | 1    | Stato: EXPLORE            | (4,13)       | 476    | NO
29       | 4    | Stato: RETRIEVE           | (7,3)        | 473    | NO
32       | 4    | RACCOLTA OGGETTO          | (7,5)        | 470    | SI
37       | 3    | Stato: RETRIEVE           | (4,8)        | 464    | NO
44       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 458    | NO
48       | 4    | Stato: EXPLORE            | (4,13)       | 454    | NO
49       | 4    | Stato: RETRIEVE           | (4,14)       | 453    | NO
52       | 1    | Stato: RETRIEVE           | (1,15)       | 447    | NO
62       | 1    | RACCOLTA OGGETTO          | (7,18)       | 437    | SI
75       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 424    | NO
79       | 1    | Stato: EXPLORE            | (4,13)       | 420    | NO
80       | 1    | Stato: RETRIEVE           | (4,14)       | 419    | NO
98       | 3    | RACCOLTA OGGETTO          | (7,9)        | 403    | SI
109      | 1    | RACCOLTA OGGETTO          | (7,11)       | 390    | SI
109      | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 392    | NO
115      | 3    | Stato: EXPLORE            | (4,13)       | 386    | NO
116      | 3    | Stato: RETRIEVE           | (4,14)       | 385    | NO
121      | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 378    | NO
125      | 1    | Stato: EXPLORE            | (4,13)       | 374    | NO
126      | 1    | Stato: RETRIEVE           | (4,14)       | 373    | NO
130      | 4    | RACCOLTA OGGETTO          | (11,7)       | 372    | SI
136      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 366    | NO
140      | 4    | RACCOLTA OGGETTO          | (12,4)       | 362    | SI
144      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 358    | NO
150      | 4    | Stato: EXPLORE            | (13,4)       | 352    | NO
151      | 4    | Stato: RETRIEVE           | (13,5)       | 351    | NO
165      | 1    | Stato: EXPLORE            | (7,8)        | 334    | NO
166      | 4    | Stato: EXPLORE            | (9,8)        | 336    | NO
193      | 3    | Stato: EXPLORE            | (7,11)       | 308    | NO
252      | 1    | Stato: RETRIEVE           | (16,8)       | 247    | NO
254      | 3    | Stato: RETRIEVE           | (6,15)       | 247    | NO
255      | 1    | RACCOLTA OGGETTO          | (16,10)      | 244    | SI
267      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 232    | NO
271      | 1    | Stato: EXPLORE            | (19,12)      | 228    | NO
291      | 3    | RACCOLTA OGGETTO          | (10,19)      | 210    | SI
296      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 205    | NO
300      | 3    | Stato: EXPLORE            | (12,19)      | 201    | NO
301      | 3    | Stato: RETRIEVE           | (12,18)      | 200    | NO
318      | 3    | Stato: EXPLORE            | (16,10)      | 183    | NO
329      | 3    | Stato: RETRIEVE           | (19,18)      | 172    | NO
332      | 3    | RACCOLTA OGGETTO          | (19,20)      | 169    | SI
345      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 156    | NO
