TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,2)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,1)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (4,8)        | 488    | NO
17       | 4    | RACCOLTA OGGETTO          | (4,10)       | 485    | SI
21       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 481    | NO
25       | 4    | Stato: EXPLORE            | (4,11)       | 477    | NO
39       | 1    | Stato: RETRIEVE           | (1,4)        | 460    | NO
45       | 3    | Stato: RETRIEVE           | (1,12)       | 456    | NO
53       | 1    | RACCOLTA OGGETTO          | (7,9)        | 446    | SI
63       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 436    | NO
67       | 3    | RACCOLTA OGGETTO          | (7,11)       | 434    | SI
67       | 1    | Stato: EXPLORE            | (4,11)       | 432    | NO
68       | 1    | Stato: RETRIEVE           | (4,10)       | 431    | NO
79       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 422    | NO
85       | 3    | Stato: EXPLORE            | (4,11)       | 416    | NO
86       | 3    | Stato: RETRIEVE           | (4,10)       | 415    | NO
105      | 3    | RACCOLTA OGGETTO          | (7,5)        | 396    | SI
117      | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 384    | NO
120      | 4    | Stato: RETRIEVE           | (4,12)       | 382    | NO
122      | 3    | Stato: EXPLORE            | (4,11)       | 379    | NO
123      | 3    | Stato: RETRIEVE           | (3,11)       | 378    | NO
139      | 3    | RACCOLTA OGGETTO          | (7,18)       | 362    | SI
146      | 4    | Stato: EXPLORE            | (7,18)       | 356    | NO
151      | 1    | Stato: EXPLORE            | (3,12)       | 348    | NO
152      | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 349    | NO
156      | 3    | Stato: EXPLORE            | (4,11)       | 345    | NO
172      | 4    | Stato: RETRIEVE           | (7,12)       | 330    | NO
175      | 3    | Stato: RETRIEVE           | (5,15)       | 326    | NO
182      | 4    | RACCOLTA OGGETTO          | (11,7)       | 320    | SI
187      | 3    | RACCOLTA OGGETTO          | (10,19)      | 314    | SI
188      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 314    | NO
192      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 309    | NO
192      | 4    | RACCOLTA OGGETTO          | (12,4)       | 310    | SI
195      | 1    | Stato: RETRIEVE           | (4,23)       | 304    | NO
196      | 3    | Stato: EXPLORE            | (11,20)      | 305    | NO
196      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 306    | NO
197      | 3    | Stato: RETRIEVE           | (11,19)      | 304    | NO
202      | 4    | Stato: EXPLORE            | (11,4)       | 300    | NO
203      | 4    | Stato: RETRIEVE           | (10,4)       | 299    | NO
210      | 4    | Stato: EXPLORE            | (10,11)      | 292    | NO
210      | 3    | Stato: EXPLORE            | (10,13)      | 291    | NO
241      | 4    | Stato: RETRIEVE           | (16,8)       | 261    | NO
244      | 4    | RACCOLTA OGGETTO          | (16,10)      | 258    | SI
256      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 246    | NO
260      | 4    | Stato: EXPLORE            | (20,11)      | 242    | NO
274      | 1    | Stato: EXPLORE            | (10,19)      | 225    | NO
275      | 1    | Stato: RETRIEVE           | (11,19)      | 224    | NO
292      | 1    | Stato: EXPLORE            | (11,7)       | 207    | NO
300      | 4    | Stato: RETRIEVE           | (24,7)       | 202    | NO
335      | 4    | RACCOLTA OGGETTO          | (19,20)      | 167    | SI
348      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 154    | NO
