Agent_ID,Agent_Type,Final_State,Battery_Remaining,Distance_Covered,Deliveries,Abandoned_Objects,Ticks_Alive,Pct_Explore,Pct_ReturnHome
1,Worker1,EXIT_WAREHOUSE,320,171,4,0,180,55.0%,23.33%
2,Scout2,EXPLORE,321,178,0,0,179,100.0%,0.0%
3,Worker2,EXPLORE,322,169,4,0,178,44.38%,20.79%
4,Worker3,EXPLORE,323,172,2,0,177,46.89%,9.04%
5,Scout1,EXPLORE,324,175,0,0,176,100.0%,0.0%
