TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (2,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (4,8)        | 488    | NO
17       | 4    | RACCOLTA OGGETTO          | (4,10)       | 485    | SI
21       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 481    | NO
25       | 4    | Stato: EXPLORE            | (4,11)       | 477    | NO
37       | 4    | Stato: RETRIEVE           | (7,16)       | 465    | NO
38       | 3    | Stato: RETRIEVE           | (6,8)        | 463    | NO
40       | 4    | RACCOLTA OGGETTO          | (7,18)       | 462    | SI
41       | 3    | RACCOLTA OGGETTO          | (7,9)        | 460    | SI
51       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 450    | NO
53       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 449    | NO
55       | 3    | Stato: EXPLORE            | (4,11)       | 446    | NO
56       | 3    | Stato: RETRIEVE           | (4,10)       | 445    | NO
59       | 4    | Stato: EXPLORE            | (4,11)       | 443    | NO
60       | 4    | Stato: RETRIEVE           | (4,10)       | 442    | NO
77       | 3    | RACCOLTA OGGETTO          | (7,5)        | 424    | SI
93       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 408    | NO
97       | 3    | RACCOLTA OGGETTO          | (12,4)       | 404    | SI
101      | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 400    | NO
107      | 3    | Stato: EXPLORE            | (11,4)       | 394    | NO
108      | 3    | Stato: RETRIEVE           | (11,5)       | 393    | NO
111      | 3    | RACCOLTA OGGETTO          | (11,7)       | 390    | SI
117      | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 384    | NO
121      | 3    | Stato: EXPLORE            | (11,4)       | 380    | NO
121      | 4    | RACCOLTA OGGETTO          | (7,11)       | 381    | SI
122      | 3    | Stato: RETRIEVE           | (10,4)       | 379    | NO
125      | 1    | Stato: RETRIEVE           | (2,14)       | 374    | NO
133      | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 369    | NO
137      | 4    | Stato: EXPLORE            | (4,11)       | 365    | NO
138      | 4    | Stato: RETRIEVE           | (4,10)       | 364    | NO
141      | 3    | Stato: EXPLORE            | (7,11)       | 360    | NO
171      | 1    | Stato: EXPLORE            | (0,18)       | 328    | NO
274      | 3    | Stato: RETRIEVE           | (10,17)      | 227    | NO
277      | 3    | RACCOLTA OGGETTO          | (10,19)      | 224    | SI
282      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 219    | NO
286      | 3    | Stato: EXPLORE            | (11,20)      | 215    | NO
289      | 1    | Stato: RETRIEVE           | (16,8)       | 210    | NO
299      | 4    | Stato: EXPLORE            | (11,7)       | 203    | NO
320      | 3    | Stato: RETRIEVE           | (14,15)      | 181    | NO
322      | 4    | Stato: RETRIEVE           | (13,14)      | 180    | NO
361      | 4    | RACCOLTA OGGETTO          | (19,20)      | 141    | SI
372      | 1    | RACCOLTA OGGETTO          | (16,10)      | 127    | SI
374      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 128    | NO
380      | 4    | Stato: EXPLORE            | (20,11)      | 122    | NO
386      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 113    | NO
