TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,1)        | 499    | NO
4        | 4    | Stato: EXPLORE            | (1,1)        | 499    | NO
6        | 5    | Stato: EXPLORE            | (0,1)        | 499    | NO
8        | 5    | Stato: STANDBY            | (0,2)        | 497    | NO
9        | 5    | Stato: EXPLORE            | (0,1)        | 496    | NO
11       | 5    | Stato: STANDBY            | (0,2)        | 494    | NO
12       | 5    | Stato: EXPLORE            | (0,1)        | 493    | NO
15       | 5    | Stato: STANDBY            | (0,1)        | 490    | NO
16       | 5    | Stato: EXPLORE            | (0,0)        | 489    | NO
17       | 5    | Stato: STANDBY            | (0,0)        | 488    | NO
18       | 5    | Stato: EXPLORE            | (0,1)        | 487    | NO
29       | 5    | Stato: STANDBY            | (0,2)        | 476    | NO
30       | 5    | Stato: EXPLORE            | (1,2)        | 475    | NO
41       | 4    | Stato: MOVE_TO_OBJECT     | (6,5)        | 462    | NO
45       | 4    | RACCOLTA OGGETTO          | (9,5)        | 458    | SI
54       | 4    | Stato: DELIVER            | (11,3)       | 449    | SI
55       | 1    | Stato: MOVE_TO_OBJECT     | (2,7)        | 444    | NO
57       | 4    | CONSEGNA EFFETTUATA       | (12,3)       | 446    | NO
58       | 4    | Stato: MOVE_TO_OBJECT     | (12,3)       | 445    | NO
61       | 4    | RACCOLTA OGGETTO          | (11,4)       | 442    | SI
65       | 1    | Stato: EXPLORE            | (9,5)        | 434    | NO
66       | 1    | Stato: MOVE_TO_OBJECT     | (9,5)        | 433    | NO
67       | 4    | Stato: DELIVER            | (11,3)       | 436    | SI
70       | 4    | CONSEGNA EFFETTUATA       | (12,3)       | 433    | NO
73       | 1    | RACCOLTA OGGETTO          | (6,8)        | 426    | SI
83       | 4    | Stato: MOVE_TO_OBJECT     | (20,5)       | 420    | NO
84       | 1    | Stato: DELIVER            | (3,11)       | 415    | SI
87       | 1    | CONSEGNA EFFETTUATA       | (3,12)       | 412    | NO
87       | 4    | RACCOLTA OGGETTO          | (20,8)       | 416    | SI
88       | 1    | Stato: MOVE_TO_OBJECT     | (3,12)       | 411    | NO
91       | 1    | RACCOLTA OGGETTO          | (4,13)       | 408    | SI
95       | 5    | Stato: STANDBY            | (1,11)       | 410    | NO
96       | 5    | Stato: EXPLORE            | (1,12)       | 409    | NO
96       | 4    | Stato: DELIVER            | (21,11)      | 407    | SI
97       | 1    | Stato: DELIVER            | (3,11)       | 402    | SI
99       | 4    | CONSEGNA EFFETTUATA       | (21,12)      | 404    | NO
100      | 1    | CONSEGNA EFFETTUATA       | (3,12)       | 399    | NO
101      | 1    | Stato: MOVE_TO_OBJECT     | (3,12)       | 398    | NO
105      | 4    | Stato: MOVE_TO_OBJECT     | (18,14)      | 398    | NO
107      | 1    | RACCOLTA OGGETTO          | (7,11)       | 392    | SI
108      | 4    | RACCOLTA OGGETTO          | (17,13)      | 395    | SI
116      | 1    | Stato: DELIVER            | (3,11)       | 383    | SI
119      | 4    | Stato: DELIVER            | (21,11)      | 384    | SI
119      | 1    | CONSEGNA EFFETTUATA       | (3,12)       | 380    | NO
122      | 4    | CONSEGNA EFFETTUATA       | (21,12)      | 381    | NO
238      | 4    | Stato: MOVE_TO_OBJECT     | (5,17)       | 265    | NO
242      | 4    | RACCOLTA OGGETTO          | (5,20)       | 261    | SI
254      | 4    | Stato: DELIVER            | (11,21)      | 249    | SI
257      | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 246    | NO
258      | 4    | Stato: MOVE_TO_OBJECT     | (12,21)      | 245    | NO
263      | 4    | RACCOLTA OGGETTO          | (9,20)       | 240    | SI
271      | 4    | Stato: DELIVER            | (11,21)      | 232    | SI
274      | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 229    | NO
283      | 4    | Stato: MOVE_TO_OBJECT     | (19,20)      | 220    | NO
287      | 4    | RACCOLTA OGGETTO          | (20,18)      | 216    | SI
298      | 4    | Stato: DELIVER            | (21,11)      | 205    | SI
301      | 4    | CONSEGNA EFFETTUATA       | (21,12)      | 202    | NO
