TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,1)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (2,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (1,0)        | 499    | NO
17       | 1    | Stato: RETRIEVE           | (5,7)        | 482    | NO
20       | 1    | RACCOLTA OGGETTO          | (6,8)        | 479    | SI
22       | 4    | Stato: RETRIEVE           | (9,3)        | 480    | NO
25       | 4    | RACCOLTA OGGETTO          | (9,5)        | 477    | SI
28       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 471    | NO
28       | 3    | Stato: RETRIEVE           | (5,10)       | 473    | NO
31       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 471    | NO
32       | 1    | Stato: EXPLORE            | (4,11)       | 467    | NO
32       | 3    | RACCOLTA OGGETTO          | (7,11)       | 469    | SI
33       | 1    | Stato: RETRIEVE           | (4,12)       | 466    | NO
35       | 1    | RACCOLTA OGGETTO          | (4,13)       | 464    | SI
35       | 4    | Stato: EXPLORE            | (11,4)       | 467    | NO
36       | 4    | RACCOLTA OGGETTO          | (11,4)       | 466    | SI
38       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 463    | NO
39       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 463    | NO
44       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 455    | NO
44       | 3    | Stato: EXPLORE            | (4,11)       | 457    | NO
45       | 3    | Stato: RETRIEVE           | (4,10)       | 456    | NO
45       | 4    | Stato: EXPLORE            | (11,4)       | 457    | NO
57       | 3    | Stato: EXPLORE            | (11,5)       | 444    | NO
60       | 1    | Stato: EXPLORE            | (4,13)       | 439    | NO
61       | 1    | Stato: RETRIEVE           | (4,14)       | 438    | NO
82       | 4    | Stato: RETRIEVE           | (17,11)      | 420    | NO
85       | 1    | RACCOLTA OGGETTO          | (5,20)       | 414    | SI
85       | 4    | RACCOLTA OGGETTO          | (17,13)      | 417    | SI
93       | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 409    | NO
94       | 1    | CONSEGNA EFFETTUATA       | (11,22)      | 405    | NO
97       | 4    | Stato: EXPLORE            | (20,11)      | 405    | NO
98       | 4    | Stato: RETRIEVE           | (20,10)      | 404    | NO
98       | 1    | Stato: EXPLORE            | (13,20)      | 401    | NO
99       | 1    | Stato: RETRIEVE           | (14,20)      | 400    | NO
101      | 4    | RACCOLTA OGGETTO          | (20,8)       | 401    | SI
107      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 395    | NO
111      | 1    | RACCOLTA OGGETTO          | (9,20)       | 388    | SI
113      | 4    | Stato: EXPLORE            | (20,11)      | 389    | NO
116      | 1    | CONSEGNA EFFETTUATA       | (11,22)      | 383    | NO
122      | 1    | Stato: EXPLORE            | (11,20)      | 377    | NO
123      | 1    | Stato: RETRIEVE           | (11,19)      | 376    | NO
139      | 1    | Stato: EXPLORE            | (11,4)       | 360    | NO
140      | 1    | Stato: RETRIEVE           | (10,4)       | 359    | NO
143      | 1    | Stato: EXPLORE            | (9,5)        | 356    | NO
251      | 3    | Stato: RETRIEVE           | (19,17)      | 250    | NO
254      | 3    | RACCOLTA OGGETTO          | (20,18)      | 247    | SI
256      | 1    | Stato: RETRIEVE           | (18,5)       | 243    | NO
264      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 237    | NO
