TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,2)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,1)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (8,4)        | 488    | NO
17       | 4    | RACCOLTA OGGETTO          | (9,5)        | 485    | SI
18       | 3    | Stato: RETRIEVE           | (4,8)        | 483    | NO
21       | 3    | RACCOLTA OGGETTO          | (6,8)        | 480    | SI
23       | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 479    | NO
27       | 1    | Stato: RETRIEVE           | (9,4)        | 472    | NO
27       | 4    | Stato: EXPLORE            | (13,4)       | 475    | NO
28       | 4    | Stato: RETRIEVE           | (14,4)       | 474    | NO
29       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 472    | NO
30       | 1    | RACCOLTA OGGETTO          | (11,4)       | 469    | SI
33       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 466    | NO
33       | 3    | Stato: EXPLORE            | (5,12)       | 468    | NO
34       | 3    | Stato: RETRIEVE           | (5,13)       | 467    | NO
36       | 3    | RACCOLTA OGGETTO          | (4,13)       | 465    | SI
39       | 1    | Stato: EXPLORE            | (13,4)       | 460    | NO
41       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 460    | NO
42       | 4    | Stato: EXPLORE            | (15,5)       | 460    | NO
47       | 3    | Stato: EXPLORE            | (5,12)       | 454    | NO
48       | 3    | Stato: RETRIEVE           | (5,11)       | 453    | NO
48       | 4    | Stato: RETRIEVE           | (20,6)       | 454    | NO
51       | 3    | RACCOLTA OGGETTO          | (7,11)       | 450    | SI
51       | 4    | RACCOLTA OGGETTO          | (20,8)       | 451    | SI
57       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 444    | NO
57       | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 445    | NO
61       | 4    | Stato: EXPLORE            | (20,13)      | 441    | NO
61       | 3    | Stato: EXPLORE            | (4,13)       | 440    | NO
64       | 1    | Stato: RETRIEVE           | (17,11)      | 435    | NO
64       | 4    | Stato: RETRIEVE           | (18,14)      | 438    | NO
67       | 4    | RACCOLTA OGGETTO          | (17,13)      | 435    | SI
67       | 1    | Stato: EXPLORE            | (17,10)      | 432    | NO
74       | 3    | Stato: RETRIEVE           | (5,17)       | 427    | NO
75       | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 427    | NO
79       | 4    | Stato: EXPLORE            | (20,13)      | 423    | NO
82       | 4    | Stato: RETRIEVE           | (20,16)      | 420    | NO
85       | 4    | RACCOLTA OGGETTO          | (20,18)      | 417    | SI
88       | 3    | RACCOLTA OGGETTO          | (9,20)       | 413    | SI
93       | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 408    | NO
95       | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 407    | NO
97       | 3    | Stato: EXPLORE            | (13,20)      | 404    | NO
98       | 3    | Stato: RETRIEVE           | (14,20)      | 403    | NO
101      | 4    | Stato: EXPLORE            | (20,11)      | 401    | NO
142      | 1    | Stato: RETRIEVE           | (3,5)        | 357    | NO
154      | 3    | RACCOLTA OGGETTO          | (5,20)       | 347    | SI
163      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 338    | NO
