TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (2,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,2)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
14       | 3    | Stato: RETRIEVE           | (5,7)        | 487    | NO
17       | 3    | RACCOLTA OGGETTO          | (6,8)        | 484    | SI
18       | 1    | Stato: RETRIEVE           | (7,5)        | 481    | NO
21       | 1    | RACCOLTA OGGETTO          | (9,5)        | 478    | SI
24       | 4    | Stato: RETRIEVE           | (5,10)       | 478    | NO
25       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 476    | NO
27       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 472    | NO
28       | 4    | RACCOLTA OGGETTO          | (7,11)       | 474    | SI
29       | 3    | Stato: EXPLORE            | (4,11)       | 472    | NO
30       | 3    | Stato: RETRIEVE           | (4,12)       | 471    | NO
31       | 1    | Stato: EXPLORE            | (11,4)       | 468    | NO
32       | 3    | RACCOLTA OGGETTO          | (4,13)       | 469    | SI
32       | 1    | RACCOLTA OGGETTO          | (11,4)       | 467    | SI
34       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 468    | NO
35       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 464    | NO
39       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 462    | NO
40       | 4    | Stato: EXPLORE            | (4,11)       | 462    | NO
41       | 1    | Stato: EXPLORE            | (13,4)       | 458    | NO
45       | 3    | Stato: EXPLORE            | (4,11)       | 456    | NO
50       | 1    | Stato: RETRIEVE           | (20,6)       | 449    | NO
53       | 1    | RACCOLTA OGGETTO          | (20,8)       | 446    | SI
59       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 440    | NO
63       | 1    | Stato: EXPLORE            | (20,11)      | 436    | NO
64       | 4    | Stato: RETRIEVE           | (5,14)       | 438    | NO
75       | 4    | RACCOLTA OGGETTO          | (9,20)       | 427    | SI
78       | 1    | Stato: RETRIEVE           | (18,14)      | 421    | NO
80       | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 422    | NO
81       | 1    | RACCOLTA OGGETTO          | (17,13)      | 418    | SI
84       | 4    | Stato: EXPLORE            | (11,20)      | 418    | NO
85       | 4    | Stato: RETRIEVE           | (11,19)      | 417    | NO
89       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 410    | NO
93       | 1    | Stato: EXPLORE            | (20,11)      | 406    | NO
97       | 4    | RACCOLTA OGGETTO          | (5,20)       | 405    | SI
106      | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 396    | NO
110      | 4    | Stato: EXPLORE            | (11,20)      | 392    | NO
111      | 4    | Stato: RETRIEVE           | (11,19)      | 391    | NO
124      | 3    | Stato: RETRIEVE           | (11,5)       | 377    | NO
126      | 3    | Stato: EXPLORE            | (11,4)       | 375    | NO
127      | 4    | Stato: EXPLORE            | (11,5)       | 375    | NO
247      | 1    | Stato: RETRIEVE           | (8,21)       | 252    | NO
259      | 3    | Stato: RETRIEVE           | (21,17)      | 242    | NO
262      | 3    | RACCOLTA OGGETTO          | (20,18)      | 239    | SI
263      | 1    | Stato: EXPLORE            | (20,17)      | 236    | NO
296      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 205    | NO
