TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
16       | 4    | Stato: RETRIEVE           | (4,8)        | 486    | NO
19       | 4    | RACCOLTA OGGETTO          | (6,8)        | 483    | SI
20       | 1    | Stato: RETRIEVE           | (7,5)        | 479    | NO
23       | 1    | RACCOLTA OGGETTO          | (9,5)        | 476    | SI
27       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 475    | NO
29       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 470    | NO
31       | 4    | Stato: EXPLORE            | (4,13)       | 471    | NO
32       | 4    | RACCOLTA OGGETTO          | (4,13)       | 470    | SI
33       | 1    | Stato: EXPLORE            | (11,4)       | 466    | NO
34       | 1    | RACCOLTA OGGETTO          | (11,4)       | 465    | SI
37       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 465    | NO
37       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 462    | NO
43       | 1    | Stato: EXPLORE            | (11,4)       | 456    | NO
43       | 4    | Stato: EXPLORE            | (5,12)       | 459    | NO
44       | 4    | Stato: RETRIEVE           | (5,13)       | 458    | NO
51       | 3    | Stato: RETRIEVE           | (14,8)       | 450    | NO
58       | 4    | RACCOLTA OGGETTO          | (5,20)       | 444    | SI
62       | 3    | RACCOLTA OGGETTO          | (7,11)       | 439    | SI
67       | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 435    | NO
68       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 433    | NO
71       | 4    | Stato: EXPLORE            | (13,20)      | 431    | NO
72       | 3    | Stato: EXPLORE            | (4,13)       | 429    | NO
72       | 4    | Stato: RETRIEVE           | (14,20)      | 430    | NO
96       | 4    | RACCOLTA OGGETTO          | (9,20)       | 406    | SI
101      | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 401    | NO
105      | 4    | Stato: EXPLORE            | (13,20)      | 397    | NO
106      | 4    | Stato: RETRIEVE           | (14,20)      | 396    | NO
121      | 1    | Stato: RETRIEVE           | (8,9)        | 378    | NO
123      | 4    | Stato: EXPLORE            | (7,11)       | 379    | NO
124      | 1    | Stato: EXPLORE            | (9,11)       | 375    | NO
137      | 4    | Stato: RETRIEVE           | (2,12)       | 365    | NO
152      | 1    | Stato: RETRIEVE           | (17,15)      | 347    | NO
155      | 1    | RACCOLTA OGGETTO          | (17,13)      | 344    | SI
163      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 336    | NO
167      | 1    | Stato: EXPLORE            | (20,13)      | 332    | NO
168      | 1    | Stato: RETRIEVE           | (20,14)      | 331    | NO
168      | 4    | RACCOLTA OGGETTO          | (20,8)       | 334    | SI
174      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 328    | NO
178      | 1    | Stato: EXPLORE            | (20,12)      | 321    | NO
181      | 4    | Stato: EXPLORE            | (20,13)      | 321    | NO
184      | 4    | Stato: RETRIEVE           | (20,16)      | 318    | NO
187      | 4    | RACCOLTA OGGETTO          | (20,18)      | 315    | SI
195      | 3    | Stato: RETRIEVE           | (5,17)       | 306    | NO
197      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 305    | NO
