Agent_ID,Agent_Type,Final_State,Battery_Remaining,Distance_Covered,Deliveries,Abandoned_Objects,Ticks_Alive,Pct_Explore,Pct_ReturnHome
1,Worker1,EXPLORE,302,191,3,0,198,74.75%,8.59%
2,Scout2,EXPLORE,303,194,0,0,197,100.0%,0.0%
3,Worker2,RETRIEVE,304,193,1,0,196,87.76%,3.06%
4,Worker3,EXIT_WAREHOUSE,305,180,6,0,195,17.44%,22.05%
5,Scout1,EXPLORE,306,193,0,0,194,100.0%,0.0%
