TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (4,8)        | 488    | NO
16       | 1    | Stato: RETRIEVE           | (7,3)        | 483    | NO
17       | 4    | RACCOLTA OGGETTO          | (4,10)       | 485    | SI
19       | 1    | RACCOLTA OGGETTO          | (7,5)        | 480    | SI
21       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 481    | NO
25       | 4    | Stato: EXPLORE            | (4,11)       | 477    | NO
33       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 466    | NO
37       | 1    | RACCOLTA OGGETTO          | (12,4)       | 462    | SI
43       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 456    | NO
49       | 1    | Stato: EXPLORE            | (13,4)       | 450    | NO
50       | 1    | Stato: RETRIEVE           | (13,5)       | 449    | NO
57       | 1    | RACCOLTA OGGETTO          | (11,7)       | 442    | SI
62       | 4    | Stato: RETRIEVE           | (5,23)       | 440    | NO
65       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 434    | NO
69       | 1    | Stato: EXPLORE            | (13,4)       | 430    | NO
69       | 3    | Stato: RETRIEVE           | (5,15)       | 432    | NO
70       | 1    | Stato: RETRIEVE           | (13,5)       | 429    | NO
75       | 3    | RACCOLTA OGGETTO          | (7,18)       | 426    | SI
88       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 413    | NO
91       | 1    | RACCOLTA OGGETTO          | (7,11)       | 408    | SI
92       | 3    | Stato: EXPLORE            | (4,11)       | 409    | NO
93       | 3    | Stato: RETRIEVE           | (4,10)       | 408    | NO
103      | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 396    | NO
109      | 1    | Stato: EXPLORE            | (4,11)       | 390    | NO
110      | 1    | Stato: RETRIEVE           | (4,10)       | 389    | NO
115      | 4    | Stato: EXPLORE            | (7,11)       | 387    | NO
116      | 4    | Stato: RETRIEVE           | (7,10)       | 386    | NO
118      | 4    | RACCOLTA OGGETTO          | (7,9)        | 384    | SI
121      | 3    | Stato: EXPLORE            | (4,8)        | 380    | NO
130      | 1    | Stato: EXPLORE            | (6,8)        | 369    | NO
136      | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 366    | NO
140      | 4    | Stato: EXPLORE            | (4,11)       | 362    | NO
192      | 1    | Stato: RETRIEVE           | (4,22)       | 307    | NO
210      | 1    | RACCOLTA OGGETTO          | (10,19)      | 289    | SI
215      | 1    | CONSEGNA EFFETTUATA       | (11,22)      | 284    | NO
219      | 1    | Stato: EXPLORE            | (11,20)      | 280    | NO
220      | 1    | Stato: RETRIEVE           | (11,19)      | 279    | NO
232      | 3    | Stato: RETRIEVE           | (13,16)      | 269    | NO
270      | 4    | Stato: RETRIEVE           | (12,6)       | 232    | NO
275      | 3    | RACCOLTA OGGETTO          | (19,20)      | 226    | SI
288      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 213    | NO
288      | 4    | Stato: EXPLORE            | (10,19)      | 214    | NO
289      | 4    | Stato: RETRIEVE           | (10,20)      | 213    | NO
292      | 3    | Stato: EXPLORE            | (20,11)      | 209    | NO
310      | 4    | RACCOLTA OGGETTO          | (16,10)      | 192    | SI
322      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 180    | NO
