TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (0,2)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,1)        | 499    | NO
14       | 4    | Stato: RETRIEVE           | (3,9)        | 488    | NO
17       | 4    | RACCOLTA OGGETTO          | (4,10)       | 485    | SI
21       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 481    | NO
25       | 4    | Stato: EXPLORE            | (4,11)       | 477    | NO
30       | 1    | Stato: RETRIEVE           | (6,8)        | 469    | NO
37       | 1    | RACCOLTA OGGETTO          | (11,7)       | 462    | SI
43       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 456    | NO
47       | 1    | RACCOLTA OGGETTO          | (12,4)       | 452    | SI
51       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 448    | NO
57       | 1    | Stato: EXPLORE            | (11,4)       | 442    | NO
58       | 1    | Stato: RETRIEVE           | (10,4)       | 441    | NO
63       | 3    | Stato: RETRIEVE           | (6,8)        | 438    | NO
65       | 4    | Stato: RETRIEVE           | (7,16)       | 437    | NO
66       | 3    | RACCOLTA OGGETTO          | (7,9)        | 435    | SI
68       | 4    | RACCOLTA OGGETTO          | (7,18)       | 434    | SI
76       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 425    | NO
80       | 3    | Stato: EXPLORE            | (4,11)       | 421    | NO
81       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 421    | NO
81       | 3    | Stato: RETRIEVE           | (4,10)       | 420    | NO
87       | 4    | Stato: EXPLORE            | (4,13)       | 415    | NO
88       | 4    | Stato: RETRIEVE           | (4,14)       | 414    | NO
110      | 3    | RACCOLTA OGGETTO          | (7,5)        | 391    | SI
122      | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 379    | NO
125      | 1    | Stato: EXPLORE            | (7,5)        | 374    | NO
126      | 3    | Stato: EXPLORE            | (4,11)       | 375    | NO
126      | 1    | Stato: RETRIEVE           | (7,6)        | 373    | NO
127      | 3    | Stato: RETRIEVE           | (4,12)       | 374    | NO
129      | 4    | RACCOLTA OGGETTO          | (16,10)      | 373    | SI
132      | 1    | RACCOLTA OGGETTO          | (7,11)       | 367    | SI
141      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 361    | NO
144      | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 355    | NO
145      | 4    | Stato: EXPLORE            | (20,11)      | 357    | NO
146      | 3    | Stato: EXPLORE            | (7,11)       | 355    | NO
146      | 4    | Stato: RETRIEVE           | (19,11)      | 356    | NO
147      | 3    | Stato: RETRIEVE           | (7,10)       | 354    | NO
148      | 1    | Stato: EXPLORE            | (4,13)       | 351    | NO
149      | 1    | Stato: RETRIEVE           | (4,14)       | 350    | NO
167      | 3    | Stato: EXPLORE            | (13,10)      | 334    | NO
167      | 4    | Stato: EXPLORE            | (13,8)       | 335    | NO
169      | 1    | RACCOLTA OGGETTO          | (10,19)      | 330    | SI
174      | 1    | CONSEGNA EFFETTUATA       | (11,22)      | 325    | NO
178      | 1    | Stato: EXPLORE            | (11,20)      | 321    | NO
179      | 1    | Stato: RETRIEVE           | (11,19)      | 320    | NO
180      | 1    | Stato: EXPLORE            | (11,20)      | 319    | NO
198      | 3    | Stato: RETRIEVE           | (11,19)      | 303    | NO
198      | 1    | Stato: RETRIEVE           | (13,18)      | 301    | NO
210      | 4    | Stato: RETRIEVE           | (12,8)       | 292    | NO
223      | 1    | RACCOLTA OGGETTO          | (19,20)      | 276    | SI
236      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 263    | NO
