Agent_ID,Agent_Type,Final_State,Battery_Remaining,Distance_Covered,Deliveries,Abandoned_Objects,Ticks_Alive,Pct_Explore,Pct_ReturnHome
1,Worker1,EXIT_WAREHOUSE,341,150,4,0,159,55.35%,16.35%
2,Scout2,EXPLORE,342,156,0,0,158,100.0%,0.0%
3,Worker2,RETRIEVE,343,152,2,0,157,35.67%,9.55%
4,Worker3,RETRIEVE,344,146,4,0,156,33.97%,16.03%
5,Scout1,EXPLORE,345,154,0,0,155,100.0%,0.0%
