Agent_ID,Agent_Type,Final_State,Battery_Remaining,Distance_Covered,Deliveries,Abandoned_Objects,Ticks_Alive,Pct_Explore,Pct_ReturnHome
1,Worker1,EXPLORE,142,349,4,0,358,66.48%,11.73%
2,Scout2,EXPLORE,143,356,0,0,357,100.0%,0.0%
3,Worker2,EXPLORE,144,351,2,0,356,82.3%,5.06%
4,Worker3,EXIT_WAREHOUSE,145,344,4,0,355,58.31%,10.99%
5,Scout1,EXPLORE,146,353,0,0,354,100.0%,0.0%
