TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (1,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,1)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,1)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (0,0)        | 499    | NO
15       | 1    | Stato: RETRIEVE           | (7,5)        | 484    | NO
18       | 1    | RACCOLTA OGGETTO          | (9,5)        | 481    | SI
23       | 3    | Stato: RETRIEVE           | (4,8)        | 478    | NO
24       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 475    | NO
26       | 4    | Stato: RETRIEVE           | (5,7)        | 476    | NO
26       | 3    | RACCOLTA OGGETTO          | (6,8)        | 475    | SI
27       | 4    | Stato: EXPLORE            | (5,7)        | 475    | NO
28       | 1    | Stato: EXPLORE            | (11,4)       | 471    | NO
29       | 1    | RACCOLTA OGGETTO          | (11,4)       | 470    | SI
32       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 467    | NO
33       | 4    | Stato: RETRIEVE           | (4,11)       | 469    | NO
34       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 467    | NO
36       | 4    | RACCOLTA OGGETTO          | (4,13)       | 466    | SI
38       | 1    | Stato: EXPLORE            | (13,4)       | 461    | NO
40       | 3    | Stato: EXPLORE            | (4,11)       | 461    | NO
41       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 461    | NO
41       | 3    | Stato: RETRIEVE           | (5,11)       | 460    | NO
44       | 3    | RACCOLTA OGGETTO          | (7,11)       | 457    | SI
47       | 1    | Stato: RETRIEVE           | (18,8)       | 452    | NO
47       | 4    | Stato: EXPLORE            | (4,12)       | 455    | NO
50       | 1    | RACCOLTA OGGETTO          | (20,8)       | 449    | SI
50       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 451    | NO
56       | 3    | Stato: EXPLORE            | (4,11)       | 445    | NO
56       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 443    | NO
60       | 1    | Stato: EXPLORE            | (20,11)      | 439    | NO
101      | 1    | Stato: RETRIEVE           | (21,17)      | 398    | NO
104      | 1    | RACCOLTA OGGETTO          | (20,18)      | 395    | SI
114      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 385    | NO
118      | 1    | Stato: EXPLORE            | (20,11)      | 381    | NO
119      | 1    | Stato: RETRIEVE           | (19,11)      | 380    | NO
124      | 1    | RACCOLTA OGGETTO          | (17,13)      | 375    | SI
132      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 367    | NO
138      | 1    | Stato: EXPLORE            | (20,13)      | 361    | NO
146      | 3    | Stato: RETRIEVE           | (21,12)      | 355    | NO
148      | 4    | Stato: RETRIEVE           | (19,14)      | 354    | NO
155      | 1    | Stato: RETRIEVE           | (22,14)      | 344    | NO
167      | 4    | RACCOLTA OGGETTO          | (9,20)       | 335    | SI
172      | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 330    | NO
176      | 4    | Stato: EXPLORE            | (11,20)      | 326    | NO
177      | 4    | Stato: RETRIEVE           | (10,20)      | 325    | NO
183      | 4    | RACCOLTA OGGETTO          | (5,20)       | 319    | SI
187      | 3    | Stato: EXPLORE            | (8,23)       | 314    | NO
190      | 1    | Stato: EXPLORE            | (11,20)      | 309    | NO
192      | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 310    | NO
