TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,2)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (2,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,1)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (1,0)        | 499    | NO
13       | 4    | Stato: RETRIEVE           | (1,8)        | 489    | NO
16       | 1    | Stato: RETRIEVE           | (7,3)        | 483    | NO
19       | 1    | RACCOLTA OGGETTO          | (7,5)        | 480    | SI
19       | 4    | RACCOLTA OGGETTO          | (4,10)       | 483    | SI
23       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 479    | NO
25       | 3    | Stato: RETRIEVE           | (4,9)        | 476    | NO
27       | 4    | Stato: EXPLORE            | (4,11)       | 475    | NO
28       | 4    | Stato: RETRIEVE           | (4,10)       | 474    | NO
35       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 464    | NO
41       | 1    | Stato: EXPLORE            | (4,11)       | 458    | NO
42       | 1    | Stato: RETRIEVE           | (4,10)       | 457    | NO
46       | 4    | RACCOLTA OGGETTO          | (7,18)       | 456    | SI
49       | 1    | RACCOLTA OGGETTO          | (7,9)        | 450    | SI
59       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 440    | NO
62       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 440    | NO
63       | 1    | Stato: EXPLORE            | (4,11)       | 436    | NO
64       | 1    | Stato: RETRIEVE           | (4,10)       | 435    | NO
68       | 4    | Stato: EXPLORE            | (4,13)       | 434    | NO
69       | 4    | Stato: RETRIEVE           | (4,14)       | 433    | NO
75       | 3    | Stato: EXPLORE            | (7,9)        | 426    | NO
76       | 3    | Stato: RETRIEVE           | (7,10)       | 425    | NO
78       | 3    | RACCOLTA OGGETTO          | (7,11)       | 423    | SI
90       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 411    | NO
94       | 3    | Stato: EXPLORE            | (4,13)       | 407    | NO
95       | 3    | Stato: RETRIEVE           | (4,14)       | 406    | NO
128      | 4    | RACCOLTA OGGETTO          | (11,7)       | 374    | SI
133      | 1    | RACCOLTA OGGETTO          | (12,4)       | 366    | SI
134      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 368    | NO
137      | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 362    | NO
138      | 4    | Stato: EXPLORE            | (11,4)       | 364    | NO
143      | 1    | Stato: EXPLORE            | (11,4)       | 356    | NO
148      | 3    | Stato: EXPLORE            | (11,8)       | 353    | NO
153      | 3    | Stato: RETRIEVE           | (16,8)       | 348    | NO
156      | 3    | RACCOLTA OGGETTO          | (16,10)      | 345    | SI
168      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 333    | NO
172      | 3    | Stato: EXPLORE            | (20,11)      | 329    | NO
184      | 4    | Stato: RETRIEVE           | (12,19)      | 318    | NO
187      | 4    | RACCOLTA OGGETTO          | (10,19)      | 315    | SI
192      | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 310    | NO
196      | 4    | Stato: EXPLORE            | (11,20)      | 306    | NO
370      | 3    | Stato: RETRIEVE           | (19,18)      | 131    | NO
373      | 3    | RACCOLTA OGGETTO          | (19,20)      | 128    | SI
386      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 115    | NO
